global_cluster_uid,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
global_cluster_000000,17,147,Kansas,home to kansas|kansas,chunk_000::cluster_064|chunk_001::cluster_070|chunk_002::cluster_006|chunk_003::cluster_044|chunk_004::cluster_063|chunk_005::cluster_027|chunk_006::cluster_049|chunk_007::cluster_067|chunk_008::cluster_091|chunk_009::cluster_042|chunk_010::cluster_091|chunk_011::cluster_044|chunk_012::cluster_042|chunk_013::cluster_014|chunk_013::cluster_015|chunk_014::cluster_056|chunk_015::cluster_047,0,15
global_cluster_000001,11,126,Aunt Em,aunt em|my aunt em,chunk_000::cluster_002|chunk_002::cluster_067|chunk_003::cluster_028|chunk_006::cluster_105|chunk_007::cluster_066|chunk_009::cluster_060|chunk_010::cluster_092|chunk_011::cluster_042|chunk_012::cluster_075|chunk_013::cluster_085|chunk_014::cluster_088,0,14
global_cluster_000002,27,63,houses,a house|any house|fewer houses|houses|my house|no houses|several of these houses|the house|the new house|the next house|these houses|your house,chunk_000::cluster_004|chunk_001::cluster_043|chunk_001::cluster_057|chunk_001::cluster_085|chunk_001::cluster_111|chunk_002::cluster_003|chunk_002::cluster_038|chunk_002::cluster_056|chunk_003::cluster_015|chunk_003::cluster_052|chunk_004::cluster_009|chunk_005::cluster_043|chunk_005::cluster_044|chunk_005::cluster_053|chunk_005::cluster_054|chunk_006::cluster_022|chunk_006::cluster_023|chunk_006::cluster_031|chunk_006::cluster_102|chunk_007::cluster_062|chunk_007::cluster_112|chunk_008::cluster_053|chunk_011::cluster_100|chunk_013::cluster_065|chunk_014::cluster_011|chunk_014::cluster_076|chunk_015::cluster_031,0,15
global_cluster_000003,20,75,the Throne Room,a room|a small chamber in the rear of the throne room|her room|his throne room|one room|rooms|the rear of the throne room|the room|the throne room|their rooms|these rooms,chunk_000::cluster_006|chunk_000::cluster_021|chunk_005::cluster_071|chunk_005::cluster_074|chunk_006::cluster_048|chunk_006::cluster_087|chunk_006::cluster_094|chunk_007::cluster_032|chunk_007::cluster_041|chunk_007::cluster_047|chunk_010::cluster_094|chunk_010::cluster_116|chunk_010::cluster_117|chunk_011::cluster_043|chunk_011::cluster_066|chunk_011::cluster_067|chunk_011::cluster_108|chunk_012::cluster_047|chunk_012::cluster_058|chunk_013::cluster_021,0,13
global_cluster_000004,16,3184,Dorothy,dorothy,chunk_000::cluster_012|chunk_001::cluster_000|chunk_002::cluster_001|chunk_003::cluster_001|chunk_004::cluster_000|chunk_005::cluster_000|chunk_006::cluster_001|chunk_007::cluster_008|chunk_008::cluster_000|chunk_009::cluster_000|chunk_010::cluster_001|chunk_011::cluster_002|chunk_012::cluster_002|chunk_013::cluster_000|chunk_014::cluster_005|chunk_015::cluster_015,0,15
global_cluster_000005,15,262,Toto,all her friends except toto|toto,chunk_000::cluster_019|chunk_001::cluster_032|chunk_003::cluster_030|chunk_004::cluster_004|chunk_005::cluster_015|chunk_006::cluster_014|chunk_006::cluster_080|chunk_007::cluster_038|chunk_007::cluster_040|chunk_008::cluster_038|chunk_009::cluster_034|chunk_011::cluster_064|chunk_013::cluster_009|chunk_014::cluster_003|chunk_015::cluster_038,0,15
global_cluster_000006,18,113,the Munchkins,a munchkin|one of the munchkins|some munchkin|the houses of the munchkins|the land of the munchkins|the munchkins|the rich munchkin,chunk_000::cluster_037|chunk_000::cluster_043|chunk_000::cluster_047|chunk_000::cluster_077|chunk_000::cluster_080|chunk_000::cluster_110|chunk_000::cluster_119|chunk_000::cluster_146|chunk_001::cluster_001|chunk_001::cluster_046|chunk_001::cluster_059|chunk_001::cluster_077|chunk_001::cluster_099|chunk_002::cluster_023|chunk_005::cluster_048|chunk_006::cluster_026|chunk_014::cluster_079|chunk_015::cluster_035,0,15
global_cluster_000007,17,66,we,we,chunk_000::cluster_038|chunk_000::cluster_042|chunk_000::cluster_105|chunk_001::cluster_087|chunk_002::cluster_011|chunk_003::cluster_058|chunk_004::cluster_017|chunk_006::cluster_000|chunk_006::cluster_011|chunk_007::cluster_005|chunk_008::cluster_023|chunk_010::cluster_050|chunk_010::cluster_053|chunk_012::cluster_065|chunk_013::cluster_012|chunk_013::cluster_090|chunk_014::cluster_036,0,14
global_cluster_000008,33,161,her friends,a friend|all her friends|anyone who is our friend|her friends|her two friends|his friends|my friends|our friend|our friends|their friend|their friends,chunk_000::cluster_048|chunk_000::cluster_129|chunk_000::cluster_143|chunk_001::cluster_058|chunk_002::cluster_066|chunk_003::cluster_027|chunk_004::cluster_047|chunk_004::cluster_059|chunk_004::cluster_065|chunk_004::cluster_066|chunk_005::cluster_014|chunk_005::cluster_023|chunk_005::cluster_034|chunk_005::cluster_035|chunk_006::cluster_079|chunk_006::cluster_081|chunk_006::cluster_111|chunk_007::cluster_028|chunk_007::cluster_037|chunk_007::cluster_039|chunk_007::cluster_071|chunk_008::cluster_011|chunk_009::cluster_023|chunk_009::cluster_029|chunk_009::cluster_070|chunk_010::cluster_013|chunk_010::cluster_014|chunk_010::cluster_036|chunk_011::cluster_001|chunk_012::cluster_052|chunk_012::cluster_066|chunk_013::cluster_013|chunk_015::cluster_074,0,15
global_cluster_000009,29,1307,Oz,only four witches in all the land of oz|oz|the great oz|the land of oz|the same great desert that surrounds this land of oz|the wisest man in all the land of oz|this land of oz|this queer land of oz,chunk_000::cluster_055|chunk_000::cluster_075|chunk_000::cluster_094|chunk_001::cluster_019|chunk_001::cluster_023|chunk_001::cluster_072|chunk_002::cluster_008|chunk_002::cluster_041|chunk_003::cluster_004|chunk_004::cluster_028|chunk_005::cluster_030|chunk_005::cluster_050|chunk_006::cluster_005|chunk_006::cluster_028|chunk_006::cluster_118|chunk_007::cluster_002|chunk_007::cluster_079|chunk_008::cluster_010|chunk_008::cluster_093|chunk_009::cluster_022|chunk_009::cluster_045|chunk_009::cluster_072|chunk_010::cluster_038|chunk_011::cluster_000|chunk_012::cluster_003|chunk_014::cluster_093|chunk_014::cluster_098|chunk_015::cluster_057|chunk_015::cluster_069,0,15
global_cluster_000010,22,273,the Emerald City,"a lovely, sunny country that seemed to beckon them on to the emerald city|the emerald city|the river|the ruler of the emerald city|the streets of the emerald city",chunk_000::cluster_092|chunk_001::cluster_021|chunk_002::cluster_034|chunk_003::cluster_070|chunk_004::cluster_027|chunk_004::cluster_034|chunk_005::cluster_003|chunk_006::cluster_017|chunk_006::cluster_058|chunk_007::cluster_009|chunk_008::cluster_039|chunk_008::cluster_040|chunk_009::cluster_071|chunk_010::cluster_037|chunk_011::cluster_026|chunk_011::cluster_039|chunk_012::cluster_010|chunk_012::cluster_067|chunk_013::cluster_005|chunk_013::cluster_017|chunk_014::cluster_099|chunk_015::cluster_058,0,15
global_cluster_000011,14,141,the Winkies,the country of the winkies|the land of the winkies|the winkies,chunk_000::cluster_089|chunk_001::cluster_014|chunk_007::cluster_094|chunk_007::cluster_103|chunk_007::cluster_104|chunk_008::cluster_046|chunk_008::cluster_065|chunk_008::cluster_067|chunk_009::cluster_015|chunk_010::cluster_010|chunk_011::cluster_037|chunk_014::cluster_103|chunk_015::cluster_033|chunk_015::cluster_062,0,15
global_cluster_000012,17,658,the Wicked Witch,"a witch|the slaves of the wicked witch|the wicked witch|the wicked witch of the west|the witch|the yellow winkies, who were the slaves of the wicked witch|witch",chunk_000::cluster_104|chunk_000::cluster_133|chunk_000::cluster_136|chunk_001::cluster_055|chunk_006::cluster_101|chunk_007::cluster_061|chunk_008::cluster_001|chunk_008::cluster_009|chunk_008::cluster_035|chunk_008::cluster_089|chunk_008::cluster_090|chunk_009::cluster_006|chunk_009::cluster_041|chunk_010::cluster_000|chunk_011::cluster_035|chunk_014::cluster_106|chunk_015::cluster_063,0,15
global_cluster_000013,17,86,the road,no road|several roads|the road|the road of yellow brick|well-paved roads,chunk_000::cluster_106|chunk_000::cluster_109|chunk_001::cluster_035|chunk_001::cluster_038|chunk_002::cluster_028|chunk_003::cluster_026|chunk_004::cluster_002|chunk_005::cluster_009|chunk_006::cluster_016|chunk_007::cluster_101|chunk_008::cluster_044|chunk_009::cluster_076|chunk_010::cluster_041|chunk_012::cluster_089|chunk_013::cluster_041|chunk_014::cluster_074|chunk_015::cluster_029,0,15
global_cluster_000014,17,1156,the Scarecrow,a good scarecrow|a scarecrow|the scarecrow|the truck|the winged monkeys had tossed the scarecrow|the witch said to the scarecrow,chunk_000::cluster_145|chunk_001::cluster_101|chunk_002::cluster_000|chunk_002::cluster_025|chunk_003::cluster_000|chunk_005::cluster_002|chunk_006::cluster_006|chunk_006::cluster_007|chunk_007::cluster_001|chunk_009::cluster_002|chunk_010::cluster_026|chunk_010::cluster_031|chunk_013::cluster_001|chunk_013::cluster_096|chunk_014::cluster_044|chunk_014::cluster_095|chunk_015::cluster_054,0,15
global_cluster_000015,14,971,the travelers,every one of the travelers|the four travelers|the travelers|travelers,chunk_001::cluster_071|chunk_002::cluster_004|chunk_003::cluster_005|chunk_004::cluster_003|chunk_005::cluster_001|chunk_009::cluster_005|chunk_009::cluster_073|chunk_010::cluster_011|chunk_010::cluster_039|chunk_012::cluster_090|chunk_013::cluster_002|chunk_013::cluster_042|chunk_014::cluster_001|chunk_015::cluster_016,1,15
global_cluster_000016,22,115,the forest,king of the forest|the beasts of the forest|the depths of the forest|the forest|the people who walked in the forest|the policemen of the forest|this part of the forest,chunk_001::cluster_114|chunk_002::cluster_033|chunk_003::cluster_006|chunk_003::cluster_032|chunk_003::cluster_060|chunk_004::cluster_008|chunk_004::cluster_020|chunk_005::cluster_031|chunk_006::cluster_019|chunk_007::cluster_054|chunk_010::cluster_059|chunk_010::cluster_064|chunk_011::cluster_004|chunk_011::cluster_008|chunk_013::cluster_061|chunk_013::cluster_062|chunk_014::cluster_004|chunk_014::cluster_006|chunk_014::cluster_065|chunk_015::cluster_003|chunk_015::cluster_012|chunk_015::cluster_014,1,15
global_cluster_000017,15,1254,the Lion,a cowardly lion|any other lions|the lion,chunk_002::cluster_035|chunk_003::cluster_003|chunk_004::cluster_001|chunk_007::cluster_021|chunk_007::cluster_088|chunk_008::cluster_018|chunk_008::cluster_024|chunk_009::cluster_008|chunk_010::cluster_004|chunk_011::cluster_016|chunk_012::cluster_035|chunk_014::cluster_000|chunk_014::cluster_060|chunk_015::cluster_000|chunk_015::cluster_007,2,15
global_cluster_000018,4,101,the Princess,a princess|the princess,chunk_003::cluster_068|chunk_004::cluster_032|chunk_013::cluster_031|chunk_014::cluster_027,3,14
global_cluster_000019,9,304,the Tin Woodman,a woodman|some of the monkeys seized the tin woodman|the tin woodman,chunk_005::cluster_005|chunk_006::cluster_003|chunk_007::cluster_036|chunk_007::cluster_086|chunk_008::cluster_020|chunk_009::cluster_030|chunk_010::cluster_016|chunk_013::cluster_008|chunk_014::cluster_002,5,14
global_cluster_000020,2,110,the man,the man,chunk_005::cluster_058|chunk_006::cluster_036,5,6
global_cluster_000021,1,99,the people,the people,chunk_006::cluster_008,6,6
global_cluster_000022,1,66,those people,those people,chunk_007::cluster_010,7,7
global_cluster_000023,7,67,strangers,strangers|the strangers,chunk_008::cluster_029|chunk_009::cluster_004|chunk_012::cluster_093|chunk_013::cluster_045|chunk_013::cluster_063|chunk_013::cluster_089|chunk_014::cluster_007,8,14
global_cluster_000024,7,109,the Winged Monkeys,a winged monkey|the winged monkeys,chunk_008::cluster_071|chunk_009::cluster_019|chunk_010::cluster_088|chunk_011::cluster_029|chunk_011::cluster_036|chunk_014::cluster_072|chunk_015::cluster_026,8,15
global_cluster_000025,3,65,my grandfather,his band|my grandfather,chunk_010::cluster_078|chunk_011::cluster_022|chunk_011::cluster_025,10,11
global_cluster_000026,1,61,the others,the others,chunk_012::cluster_041,12,12
global_cluster_000027,3,83,the monster,the man|the monster,chunk_014::cluster_031|chunk_015::cluster_005|chunk_015::cluster_019,14,15
global_cluster_000028,3,143,Glinda,glinda|the farmer's wife,chunk_014::cluster_081|chunk_015::cluster_001|chunk_015::cluster_037,14,15
